"","Identity","Count","Min","Max","Median","IQR"
"72","classical monocyte",88,371669.126592593,2195209.0556045,830646.492568891,405834.612280897
"73","enteroendocrine cell",39,150488.500050008,5338904.79408517,379732.428680473,768105.62946238
"74","DN1 thymic pro-T cell",31,309768.208486136,865189.104545204,489501.098518279,139736.829652998
"75","epithelial cell of lung",103,156008.441720075,3342698.62518686,1311524.16792341,770137.436787695
"76","pancreatic stellate cell",20,323970.880700118,4408008.79343549,1082725.91874835,1211865.46022016
"77","smooth muscle cell",42,153992.826260383,1608238.04279482,599663.250869589,339207.790632399
"78","regulatory T cell",27,150919.36132083,1058914.77824556,444030.742702125,370794.042343483
"79","mesenchymal stem cell",475,148136.135885584,4837217.54474006,1098502.89865316,603626.069185526
"80","immature NK T cell",37,420428.52210451,1862735.36311205,863659.859261508,315110.000024256
"81","lymphocyte",76,173094.746660067,1275026.98907225,370767.795150051,262153.790589853
