Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MYC 19030024 ChIP-ChIP MESCs Mouse,372/3868,1.95E-97,1.25E-94,0,0,5.48500287,1221.402477,RPL4;RPL5;EIF4A1;RNH1;RPL3;RPL32;RPL31;ATP5C1;ENO1;EPRS;RPL8;RPL9;PHB2;RPL6;ACTB;RPL7;UBE2L3;RPS15;RPS14;KRTCAP2;RPS17;PSMD7;RPS16;RPL18A;SNRPD2;RPL36AL;PPP2R1A;RPS18;FTH1;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;D17WSU104E;RPS12;RPL21;RPL23;RPL22;MIF;SND1;KARS;EWSR1;PPA1;CDC37;VDAC3;RPL24;VDAC2;RPL27;VDAC1;SUCLG1;RPL26;RPL29;EIF1A;RPL28;UBA52;ATF4;ANAPC13;SET;CTBP1;RPN1;COPS7A;ATP5O;GABARAP;GSPT1;ATP5L;PRDX2;MRPL20;ATP5B;2410015M20RIK;PRDX1;ATP5E;PCBP1;SSR1;BTF3;RPL41;PRELID1;H3F3B;ST13;PA2G4;MRPL23;PRDX6;EIF1;MRPL30;CCT6A;RPS26;RPS25;RPS28;EIF5;RPS29;RPL27A;OGDH;RPS20;CALM3;CALR;ANP32B;RPS21;RPS24;RPS23;ARF1;COX7B;SETD8;RPLP1;SRPR;ADK;COX7C;MRPL33;UBL5;HINT1;FTL1;MAP1LC3B;RPLP2;TMED2;SEC61B;COX8A;CCT3;VKORC1;CCT2;CDV3;NUDC;TMED9;SEC13;TPI1;SSR4;GSTO1;PGAM1;SSR2;ATPIF1;NME2;TIMM23;USMG5;COMMD1;1110008F13RIK;NME1;MRPL52;HADHB;DDB1;PSMA6;PSMA3;NHP2L1;PSMA2;CSDE1;TCP1;CANX;UFC1;STRAP;GARS;PABPC1;TKT;ALDOA;PTMA;ERGIC1;CD63;RPL10;GSTP1;RPL12;ATP5A1;RPL11;TIMM13;RPS27L;NEDD8;ZFP706;COX5B;COX5A;PSMA7;PCNP;PSMB7;PSMB4;PGRMC1;PSMB3;CNIH;PSMB1;RPL14;RPS3;RPL13;TCEB2;TCEB1;RPS2;RPL15;CCT8;RPS27A;RPL18;CCT7;RPL17;CCT5;RPL19;CCT4;RANBP1;NPM1;PKM2;CSNK1A1;PTGES3;COX6C;TM9SF2;FKBP1A;CSDA;PSMC5;NEDD4;SERBP1;NDUFAB1;TOMM7;CTNNB1;TCEA1;RPL22L1;HDGF;FAU;TXN1;MTCH2;PDCD6;UBE2D3;HDLBP;NUCKS1;PARK7;RPL10A;BZW1;TOMM20;ACTG1;PPP1CB;EEF1B2;NARS;LAPTM4A;CHCHD2;CFL1;HCFC1R1;BANF1;RPS9;RPS7;RPS8;RPS5;RPS6;RPSA;SDHD;PDIA6;RBX1;ATP5J2;COX6B1;EEF1A1;MORF4L1;NCL;FKBP8;ERH;ANAPC5;FKBP4;PPIA;2310044H10RIK;SNRPB;LRRC59;ENY2;DDX5;TMED10;UQCRB;PHB;2310003F16RIK;RTN4;HSP90B1;ACAT1;UBB;9130011J15RIK;PGK1;NDUFV1;ATP6V1F;HSPA9;HSPA8;HSPA5;HSPA4;GOT2;DSTN;MT1;EEF2;EIF2S2;GNB2L1;COPS6;NACA;UQCRQ;RHEB;CDK4;UBE2S;CAPRIN1;GNAS;STT3A;UBE2N;ACO2;GCLM;EIF4G2;COPE;EIF4G1;YWHAE;RNF10;GSK3B;HSP90AB1;DDX3X;COX4I1;ATP2A2;ETFB;ATP5G3;YBX1;HMGB1;ATP5G2;ATP5G1;RPS4X;RPL7A;SEC61A1;SUMO1;YWHAQ;SUMO3;SUMO2;IDH3B;TIMM17A;ACP1;IDH3A;EIF5A;HSP90AA1;H2AFZ;GLRX5;RPL13A;NDUFC1;EDF1;RPS3A;REXO2;ATP5F1;YWHAZ;RER1;NDUFS7;DAD1;NDUFS6;EEF1D;GORASP2;RPL37A;ETF1;SLC25A5;GAPDH;TSEN34;NDUFB5;NDUFB4;POMP;RPL36A;HSD17B12;TOB1;HSPD1;TBRG1;DNAJB6;GNG5;RBBP7;AAMP;1810035L17RIK;EIF4B;NDUFA9;TIMM8B;NDUFA7;PPP1R14B;SSB;CNBP;NDUFA3;TXNL1;RPL35A;RPL23A;HSPE1;SOD2;ATOX1;SOD1;RAB10;UFM1;SLC25A39;VAPA;DNAJA2;CDK2AP1;P4HB;TPT1;RAN
EKLF 21900194 ChIP-Seq ERYTHROCYTE Mouse,203/1239,6.63E-86,2.11E-83,0,0,7.527041222,1476.289278,RPL4;RPL3;RPL32;GHITM;ENO1;EPRS;RPL6;RPL7;RPS14;KRTCAP2;RPS16;SNRPD2;RPS18;MYEOV2;RPL35;RPS11;D17WSU104E;ECH1;PTOV1;MIF;MYL6;POR;CFDP1;KARS;CDC37;UQCRC1;RPL24;RPL27;VDAC1;KDELR2;SUCLG1;RPL29;SET;SAR1A;RPN1;ATP5J;ATP5O;PRDX2;SSR1;TSPAN3;SMARCA5;PA2G4;PRDX6;2900010M23RIK;CS;RPS26;RPS25;RPS28;1810022K09RIK;CALM3;CALR;ITM2B;RPS24;RPS23;RAB7;TCF25;RPLP1;ADK;MRPL33;HINT1;FTL1;RPLP2;TMED2;COX8A;CCT3;TMED9;SEC13;TPI1;HSBP1;GSTO1;SSR2;NME2;TIMM23;USMG5;SRP9;AES;PSMA5;PSMA3;PSMA4;2010107E04RIK;NHP2L1;PSMA2;TAX1BP1;UFC1;ALDOA;PTMA;ERGIC1;CSTB;CD63;SF3B2;NEDD8;PPP2CA;PSMB7;PSMB4;PSMB5;PSMB3;CNIH;RPS3;RPL15;RPS27A;CCT5;RPL19;CCT4;BCAP31;MDH1;PKM2;MDH2;PTGES3;FKBP1A;PSMC5;SERBP1;9530068E07RIK;NDUFAB1;TOMM7;2310016M24RIK;NDUFA12;NDUFA10;PEBP1;PARK7;RPL10A;BZW1;ACTG1;TXN2;CHCHD2;TMEM147;CFL1;HADH;RPS9;RPS8;SDHC;SDHA;SDHB;THOC7;APOA1BP;EEF1A1;MORF4L2;NCL;1810006K21RIK;ERH;SNRPF;FKBP4;PPIA;SNRPB;LRRC59;COPA;TMED10;UQCRB;NDUFB10;DDX1;COPB1;PHB;ACAT1;PGK1;CYC1;HSPA9;HSPA4;GOT2;MT1;TBCA;EEF2;DRAP1;COPS6;STT3A;UBE2N;COPG;GCLM;EIF4G1;UBE2M;SLC25A3;2900097C17RIK;DBI;ETFB;YBX1;ATP5G2;RPS4X;SEC61A1;SUMO1;IDH3B;EIF5A;RPL13A;REXO2;EEF1G;RPL37A;NDUFS2;SLC25A5;PFDN5;DCTN2;NDUFB3;DNAJB6;EIF4H;POLR2F;1810035L17RIK;CCDC72;EIF4B;SSB;NDUFA5;NDUFA4;CNBP;TXNRD1;2700060E02RIK;SLC25A39;DNAJA2;CDK2AP1
MYC 18358816 ChIP-ChIP MESCs Mouse,315/3413,3.73E-73,7.91E-71,0,0,4.531676764,755.7628545,RPL4;RPL5;VPS29;EIF4A1;RNH1;RPL3;RPL32;RPL31;ATP5C1;ENO1;EPRS;RPL8;RPL9;PHB2;RPL6;RPL7;UBE2L3;RPS15;RPS14;KRTCAP2;RPS17;PSMD7;RPL18A;SNRPD2;RPL36AL;PPP2R1A;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;D17WSU104E;RPS12;RPL21;RPL23;RPL22;MIF;CFDP1;KARS;EWSR1;PPA1;CSNK2B;UQCRC1;RPL24;RPL27;VDAC1;RPL26;RPL29;EIF1A;RPL28;UBA52;ATF4;ANAPC13;SET;RPN2;ATP5J;COPS7A;ATP5O;GSPT1;ATP5L;PRDX2;MRPL20;ATP5B;2410015M20RIK;PRDX5;PRDX1;ATP5E;PCBP1;ATP5D;RPL41;H3F3B;ST13;PA2G4;MRPL23;PRDX6;2900010M23RIK;MRPL30;CCT6A;RPS26;RPS25;EIF5;RPS29;RPL27A;OGDH;RPS20;CALM3;CALR;ANP32B;RPS21;RPS24;RPS23;ARF1;COX7B;SETD8;RPLP1;SRPR;ADK;COX7C;HINT1;FTL1;MAP1LC3B;SEC61G;TMED3;RPLP2;SEC61B;COX8A;CCT3;VKORC1;CCT2;CDV3;TMED9;SSR4;GSTO1;PGAM1;ATPIF1;NME2;TIMM23;USMG5;1110008F13RIK;RHOA;NME1;PSMA5;DDB1;PSMA6;PSMA3;NHP2L1;PSMA2;CSDE1;TCP1;CANX;STRAP;GARS;PABPC1;TKT;PTMA;RPL10;GSTP1;RPL12;LSMD1;RPL11;TIMM13;RPS27L;NEDD8;COX5B;COX5A;PSMA7;PCNP;PSMB4;PSMB2;PSMB3;PSMB1;RPL14;RPS3;RPL13;RPS2;RPL15;CCT8;RPS27A;RPL18;CCT7;RPL17;CCT5;RPL19;CCT4;RANBP1;NPM1;1500032L24RIK;PKM2;PTGES3;CSDA;PSMC5;PSMC3;NEDD4;SERBP1;TOMM7;TCEA1;RPL22L1;HDGF;FAU;TXN1;NDUFA13;PDCD6;NDUFA10;HDLBP;PEBP1;NUCKS1;PARK7;RPL10A;TOMM20;TXN2;EEF1B2;NARS;LAPTM4A;TMEM147;CFL1;HCFC1R1;BANF1;TMEM14C;RPS9;RPS7;RPS8;RPS5;RPS6;SDHD;MORF4L1;MORF4L2;NCL;FKBP8;ERH;PPIB;PPIA;LRRC59;ENY2;DDX5;NDUFB11;PHB;2310003F16RIK;HSP90B1;UBB;9130011J15RIK;PGK1;CYC1;NDUFV2;ATP6V1F;HSPA4;GOT2;DSTN;MT1;EEF2;EIF2S2;GNB2L1;COPS6;NACA;UQCRQ;RHEB;CDK4;SELK;GNAS;STT3A;CYCS;ACO2;COPG;COPE;SLC25A1;YWHAE;RNF10;SLC25A3;HSP90AB1;DBI;YBX1;ATP5G2;ATP5G1;GPI1;RPS4X;RPL7A;SEC61A1;SUMO2;IDH3B;TIMM17A;EIF5A;HSP90AA1;GLRX5;RPL13A;RPS3A;REXO2;ATP5F1;DDOST;EEF1G;NDUFS6;EEF1D;NDUFS5;RPL37A;NDUFS2;ETF1;TOP1;SLC25A5;GAPDH;TSEN34;NDUFB6;NDUFB5;NDUFB2;RPL36A;HSD17B12;HSPD1;TBRG1;DNAJB6;POLR2F;AAMP;1810035L17RIK;EIF4B;TIMM8B;PPP1R14B;NDUFA6;NDUFA5;CNBP;TXNL1;NDUFA1;RPL35A;RPL23A;HSPE1;SOD2;ATOX1;SOD1;SLC25A39;VAPA;RAB14;RAB18;STUB1;P4HB;RAN;METAP2
E2F1 18555785 ChIP-Seq MESCs Mouse,349/4172,6.94E-72,1.10E-69,0,0,4.287289849,702.4698202,RPL4;EIF4A1;RNH1;RPL3;RPL32;RPL31;KDELR1;ATP5C1;GHITM;ENO1;RPL8;RPL6;ACTB;RPL7;UBE2L3;RPS15;RPS14;RPS17;PSMD7;RPS16;TFG;RPL18A;SNRPD2;RPL36AL;PPP2R1A;RPS18;FTH1;BSG;PSMD1;RPL35;RPL37;RPS11;RPL39;RPS10;D17WSU104E;RPS12;RPL21;MIF;ACTN4;SND1;MYL6;POR;CFDP1;EWSR1;CDC37;FDX1;UQCRC1;RPL24;RPL27;SUCLG1;UQCRC2;RPL26;RPL29;EIF1A;RPL28;ATF4;SET;RPN2;CTBP1;MAGED1;RPN1;ATP5K;ATP5O;OAZ1;ATP5L;PRDX2;ATP5B;2410015M20RIK;PRDX1;ATP5E;PCBP1;ATP5D;SSR1;TSPAN3;S100A11;RPL41;NDFIP1;H3F3B;ST13;SURF4;PA2G4;MRPL23;PRDX6;EIF1;CS;MRPL30;CCT6A;GLUD1;RPS28;RPL27A;OGDH;RPS20;CALR;CALM1;RPS21;CALM2;ITM2B;RPS24;RPS23;COX7B;RPLP1;ADK;COX7C;MRPL33;TUBA1C;FTL1;RPLP2;RAC1;CTSB;COX8A;CCT3;VKORC1;CCT2;NUDC;SEC13;TPI1;HSBP1;ANXA4;SSR2;ATPIF1;SSR3;NME2;COMMD1;DYNLL1;COPZ1;SRP9;NME1;PSMA5;HADHB;PSMA3;2010107E04RIK;NHP2L1;PSMA2;TCP1;TAX1BP1;UFC1;GARS;TKT;ALDOA;ATP6V0C;NAPA;RPL10;GSTP1;RPL12;LSMD1;ATP5A1;RPL11;TIMM13;RPS27L;COX5B;COX5A;PSMA7;PPP2CA;PSMB7;PGRMC1;PSMB5;PSMB3;CNIH;PSMB1;LMNA;RPS3;RPS2;RPL15;RPS27A;RPL18;RPL17;CCT5;RPL19;CCT4;BCAP31;RANBP1;MDH1;1500032L24RIK;PKM2;MDH2;COX6C;RAB11B;TM9SF2;TMEM59;CSDA;PSMC6;NEDD4;SERBP1;9530068E07RIK;CTNNB1;RPL22L1;FAU;2310016M24RIK;MTCH2;NDUFA12;PDCD6;ZFAND5;NDUFA10;NUCKS1;PARK7;RPL10A;ACTG1;TXN2;EEF1B2;NARS;LAPTM4A;CHCHD2;LAMP1;LAMP2;CFL1;HCFC1R1;HADH;AP2M1;TMEM14C;PDIA3;RPS9;RPS7;RPS8;RPS5;RPS6;RPSA;SDHC;SDHB;PDIA6;APOA1BP;RBX1;ATP5J2;1810027O10RIK;EEF1A1;MORF4L1;MORF4L2;NCL;ANAPC5;FKBP4;SQSTM1;PPIA;SNRPB;LRRC58;RTN3;ENY2;VCP;DDX5;PSMD11;UQCRB;NDUFB10;BRI3;DDX1;COX7A2;PHB;2310003F16RIK;UQCRH;HSP90B1;9130011J15RIK;UBC;PGK1;CYC1;NDUFV2;NDUFV1;ATP6V1F;HSPA9;HSPA8;PDHA1;HSPA5;HSPA4;GOT2;TBCA;EEF2;EIF2S2;GNB2L1;REEP5;NACA;UQCRQ;CDK4;GNB1;CHMP2A;ACO2;YWHAE;RNF10;SLC25A3;HSP90AB1;DDX3X;HP1BP3;ETFB;NENF;ATP5G3;YBX1;ATP5G2;GPI1;RPL7A;SUMO1;SUMO3;GATAD1;TIMM17A;SKP1A;IDH3A;EIF5A;HSP90AA1;RPL13A;NDUFC1;RPS3A;REXO2;ATP5F1;DDOST;EEF1G;NDUFS7;NDUFS6;EEF1D;GORASP2;RPL37A;TMBIM1;NDUFS2;TOP1;SLC25A5;NDUFB8;DCTN2;NDUFB3;DCTN3;RPL36A;RRBP1;SEPW1;HSD17B12;TOB1;HSPD1;GNG5;WBP5;EIF4H;POLR2F;RBBP7;EIF4B;TIMM8B;NDUFA8;PPP1R14B;NDUFA6;SSB;NDUFA4;CNBP;NDUFA3;NDUFA2;NDUFA1;RPL23A;HSPE1;SOD2;ATOX1;SOD1;RAB10;2700060E02RIK;GOLPH3;UFM1;VAPA;CDK2AP1;STUB1;P4HB;TPT1;RAN
ZFX 18555785 ChIP-Seq MESCs Mouse,302/3249,5.42E-70,6.90E-68,0,0,4.450822173,709.8656965,RPL3;RPL32;KDELR1;ATP5C1;EPRS;RPL8;PHB2;RPL6;ACTB;RPL7;UBE2L3;RPS14;PSMD7;RPS16;TFG;PSMD4;RPL18A;PPP2R1A;RPS18;PSMD2;RPL36;PSMD1;RPL37;RPS11;RPS12;RPL23;RPL22;PTOV1;ACTN4;CFDP1;EWSR1;CSNK2B;UQCRC1;RPL24;RPL27;VDAC1;UQCRC2;RPL26;RPL29;EIF1A;RPL28;UBA52;ATF4;SET;RPN2;CTBP1;RPN1;ATP5K;COPS7A;OAZ1;GSPT1;ATP5L;SNX3;PRDX2;ATP5B;PRDX1;ATP5E;PCBP1;ATP5D;SSR1;TSPAN3;SERF2;BTF3;NDFIP1;ST13;SURF4;PRDX6;EIF1;CCT6A;RPS29;RPL27A;OGDH;RPS20;CALR;CALM1;RPS21;ITM2B;RPS23;ARF4;ARF1;RAB7;RPLP1;ARPC1A;COX7C;PTMS;HINT1;ACADL;TMED3;RPLP2;TMED2;RAC1;CTSB;COX8A;CDV3;NUDC;SEC13;TPI1;GSTO1;SSR3;NME2;USMG5;COMMD1;1110008F13RIK;COPZ1;SRP9;AES;MLF2;DDB1;PSMA6;PSMA3;CTTN;PSMA2;TCP1;CANX;TAX1BP1;TKT;ARF5;ERGIC1;NAPA;CSTB;CD63;SF3B2;RPL12;LSMD1;ATP5A1;RPL11;TIMM13;RPS27L;ZFP706;COX5B;COX5A;PSMA7;PPP2CA;PCNP;PSMB7;PSMB2;CNIH;RPL14;RPS3;RPL13;RPS2;RPL15;CCT8;RPS27A;RPL18;CCT7;CCT5;CCT4;RANBP1;MDH1;PTGES3;COX6C;ARCN1;RAB11B;TM9SF2;CSDA;PSMC6;PSMC3;SERBP1;9530068E07RIK;NDUFAB1;TCEA1;RPL22L1;FAU;2310016M24RIK;TXN1;MTCH2;NDUFA12;UBE2D3;ZFAND5;NDUFA10;HDLBP;PEBP1;NUCKS1;RPL10A;TOMM20;ACTG1;TXN2;PPP1CB;LAPTM4A;TMEM147;LAMP1;KIF5B;CFL1;PDIA3;RPS7;RPS5;RPS6;RPSA;SDHD;SDHA;SDHB;PDIA6;THOC7;APOA1BP;ATP5J2;EEF1A1;MORF4L1;NCL;ERH;ANAPC5;PPIB;SQSTM1;PPIA;2310044H10RIK;SNRPB;ENY2;VCP;DDX5;TMED10;PSMD11;NDUFB10;BRI3;GLO1;DDX1;COPB1;UAP1;PHB;LPP;HSP90B1;ACAT1;UBB;9130011J15RIK;ESD;BAG1;NDUFV2;HSPA9;HSPA8;HSPA5;HSPA4;SHFM1;DSTN;TBCA;EEF2;EIF2S2;REEP5;UQCRQ;RHEB;CDK4;UBE2S;GNB1;UBE2N;DYNLRB1;GCLM;EIF4G2;EIF4G1;UBE2M;ITGB1;RNF10;SLC25A3;HSP90AB1;YWHAB;HP1BP3;ATP2A2;NENF;ATP5G2;SUMO3;GATAD1;UQCRFS1;SKP1A;IDH3A;EIF5A;HSP90AA1;GLRX5;NDUFC2;DDOST;NDUFS7;EEF1D;GORASP2;TMBIM1;NDUFS2;SLC25A5;NDUFB8;HSD17B12;ACAA1A;TOB1;HSPD1;CDC42;DNAJB6;EIF4H;AAMP;NDUFA8;NDUFA6;SSB;NDUFA4;CNBP;TXNRD1;TXNL1;PDAP1;RPL23A;SOD2;ATOX1;SOD1;SLC25A39;VAPA;RAB14;DNAJA2;RAB18;CDK2AP1;STUB1;TPT1;METAP2
CREM 20920259 ChIP-Seq GC1-SPG Mouse,413/5776,2.10E-69,2.23E-67,0,0,4.040953119,639.0240263,RPL5;RNH1;RPL3;RPL31;ATP5C1;HNRNPU;GHITM;EPRS;RPL8;RPL6;RPL7;PSMD8;PSMD7;TFG;RPL36;PSMD1;RPL38;RPL21;RPL23;RPL22;SND1;MYL6;EWSR1;FDX1;RPL24;RPL27;RPL26;RPL29;UBA52;ATF4;SET;RPN2;SAR1A;PDXDC1;CTBP1;RPN1;COPS7A;OAZ1;GABARAP;PRDX2;PRDX1;SSR1;SERF2;BTF3;RPL41;NDFIP1;H3F3B;PA2G4;EIF1;HNRNPK;EIF5;EIF6;OGDH;HNRNPC;ARF4;ARF1;TCF25;RPLP0;ARPC1A;CLTB;ADK;RPLP2;NUDC;SSR4;PGAM1;SSR3;DYNLL1;1110008F13RIK;COPZ1;SRP9;PSMA5;HADHB;DDB1;HADHA;PSMA3;TCP1;GARS;GAS5;ARF5;ATP5A1;TIMM13;TM9SF3;PSMB4;PSMB5;PSMB2;PSMB3;RPL14;RPS3;RPL13;RPL18;MDH1;1500032L24RIK;PKM2;MDH2;CSNK1A1;ARCN1;TM9SF2;CSDA;PSMC5;PSMC3;9530068E07RIK;RPL22L1;2310016M24RIK;MTCH2;UBE2D3;PARK7;RPL10A;BZW1;PPP1CB;LAPTM4A;LAMP1;CFL1;TXNL4A;AP2M1;RAB2A;RPS9;RPS7;RPS5;RPS6;RPSA;RBX1;MORF4L1;MORF4L2;NCL;FKBP8;ERH;ANAPC5;SNRPF;FKBP4;SQSTM1;SNRPB;LRRC58;LRRC59;FKBP2;ENY2;ARL1;UAP1;ACAT1;BAG1;EEF2;DRAP1;REEP5;NACA;UQCRQ;RHEB;CDK4;ACO2;EIF4G2;EIF4G1;SLC25A1;ITGB1;RNF10;SLC25A3;HSP90AB1;COX4I1;SUMO1;SUMO3;IDH3B;SKP1A;IDH3A;EIF5A;HSP90AA1;PDCD6IP;GPX4;RPL13A;NDUFC1;EDF1;REXO2;DDOST;DAD1;RPL37A;POLR1D;TMBIM6;ETF1;TOP1;GAPDH;NDUFB6;NDUFB2;HSD17B12;CDC42;PUF60;DNAJB6;EIF4H;RBBP7;AAMP;EIF4B;NDUFA8;NDUFA7;HNRNPA3;NDUFA6;SSB;NDUFA5;CNBP;TXNRD1;TXNL1;RPL35A;HNRNPAB;RAB10;SLC25A39;VAPA;EIF3K;EIF3I;DNAJA2;RAB18;EIF3H;STUB1;EIF3E;P4HB;EIF3C;TPT1;EIF3A;METAP2;EIF3B;EIF4A1;CISD1;ACTB;TXNDC17;RPS14;RPS16;RPL18A;SNRPD2;RPL36AL;PPP2R1A;RPS18;FTH1;BSG;SEC62;RPS11;RPS13;D17WSU104E;PTOV1;MIF;ACTN4;POR;CFDP1;CDC37;VDAC3;KDELR2;SUCLG1;EIF1A;MAGED1;ATP5J;TWF1;ATP5O;GSPT1;SNX3;ATP5B;2410015M20RIK;PCBP1;ATP5D;TSPAN3;SEC31A;SURF4;SMARCA5;GNG12;RPS26;RPS29;RPL27A;RPS20;CALM3;CALR;ANP32B;CALM1;CALM2;RPS24;UBXN1;TECR;PTMS;HINT1;MAP1LC3B;SEC61G;TMED2;UBXN4;COX8A;CCT3;CCT2;CDV3;TMED9;RHOA;MLF2;2010107E04RIK;NHP2L1;CSDE1;CANX;RAB1;TAX1BP1;UFC1;STRAP;PABPC1;ALDOA;ATP6V0C;PTMA;NAPA;CD63;LSMD1;ZFP706;COX5B;COX5A;PPP2CA;PCNP;TCEB1;CCT8;CCT7;CCT5;CCT4;BCAP31;NPM1;PTGES3;COX6C;RAB11B;FKBP1A;SPCS1;HNRNPA2B1;CTNNB1;HDGF;FAU;TOMM6;ZFAND5;NDUFA10;MRFAP1;HDLBP;PEBP1;NUCKS1;COX6A1;TOMM20;ACTG1;TXN2;EEF1B2;NARS;TMEM147;HADH;TMEM14C;PDIA3;SDHC;SDHA;SDHB;PDIA6;1810027O10RIK;EEF1A1;CMPK1;PPIB;PPIA;COPB2;RTN3;VCP;DDX5;TMED10;PSMD11;NDUFB10;DDX1;COPB1;COX7A2;LPP;RTN4;UBB;9130011J15RIK;UBC;NDUFV2;NDUFV1;ATP6V1F;HSPA9;HSPA8;HSPA5;HSPA4;DSTN;EIF2S2;DAP;UBE2S;OSTC;CAPRIN1;GNB1;SELK;STT3A;UBE2N;CHMP2A;GCLM;UBE2K;UBE2M;YWHAE;GSK3B;DDX3X;HP1BP3;ATP2A2;YBX1;HMGB1;ATP5G2;ATP5G1;GPI1;SEC61A1;YWHAQ;UQCRFS1;H2AFZ;ATP6AP2;RPS3A;YWHAZ;EEF1G;EEF1D;GORASP2;DCTN2;POMP;DCTN3;RRBP1;SEPW1;ATP1A1;TOB1;TRA2B;HSPE1;SOD2;SOD1;2700060E02RIK;GOLPH3;UFM1;RAN
MYC 18555785 ChIP-Seq MESCs Mouse,180/1200,6.58E-69,5.99E-67,0,0,6.472120712,1016.085293,RPL4;TXN1;RPL5;MTCH2;NDUFA13;RPL3;RPL32;RPL31;ATP5C1;NUCKS1;RPL8;RPL10A;RPL6;ACTB;RPL7;TXN2;RPS15;EEF1B2;NARS;RPS14;LAPTM4A;RPS17;PSMD7;LAMP1;RPL18A;RPL36AL;RPS18;CFL1;RPL36;RPL35;RPL38;BANF1;RPL37;RPS13;D17WSU104E;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPSA;MIF;ATP5J2;EEF1A1;MORF4L1;CFDP1;KARS;EWSR1;RPL27;RPL26;RPL29;FKBP4;EIF1A;PPIB;RPL28;PPIA;ATF4;ENY2;DDX5;SET;TMED10;RPN1;COPS7A;RTN4;SNX3;PRDX2;MRPL20;ATP5B;PRDX1;ATP5E;BAG1;ATP6V1F;BTF3;HSPA8;ST13;GOT2;PA2G4;MRPL23;EEF2;EIF2S2;GNB2L1;EIF1;DRAP1;CCT6A;RPS25;EIF5;NACA;RPS29;RPL27A;RPS20;CALR;RPS21;EIF4G2;RPS24;RPS23;YWHAE;SLC25A3;COX7B;HSP90AB1;SETD8;RPLP1;ADK;ATP2A2;ATP5G2;COX7C;MRPL33;TUBA1C;RPL7A;HINT1;SUMO1;YWHAQ;SUMO3;TIMM17A;RPLP2;COX8A;CCT2;NUDC;ATPIF1;NME2;TIMM23;RPS3A;ATP5F1;1110008F13RIK;YWHAZ;NME1;DDB1;EEF1G;NHP2L1;CSDE1;NDUFS4;RAB1;STRAP;GARS;ETF1;TKT;ALDOA;CD63;SF3B2;RPL10;NDUFB5;RPL12;ATP5A1;RPL11;RPL36A;RPS27L;HSD17B12;HSPD1;PSMB2;GNG5;RPS3;RPL13;RPS2;RPL15;RPS27A;RPL18;CCT7;RPL17;CCT5;CCT4;RANBP1;NPM1;SSB;PKM2;NDUFA4;PDAP1;RPL23A;HSPE1;SOD1;TM9SF2;FKBP1A;CSDA;VAPA;SERBP1;CTNNB1;FAU;TPT1
XRN2 22483619 ChIP-Seq HELA Human,198/1529,2.60E-65,2.07E-63,0,0,5.563821927,827.4198447,RPL4;RPL5;EIF4A1;RPL3;RPL32;RPL31;HNRNPU;EPRS;RPL8;RPL9;RPL6;ACTB;UBE2L3;RPS14;KRTCAP2;RPS17;SNRPD2;RPS18;FTH1;BSG;RPL36;RPL35;RPL38;RPL37;RPS10;RPS12;RPL23;RPL22;MYL6;POR;KARS;CDC37;RPL24;RPL27;RPL26;RPL29;RPL28;ATF4;SET;PDXDC1;ATP5J;OAZ1;MRPL20;ATP5B;CYB5R3;PRDX1;PCBP1;SERF2;RPL41;H3F3B;SMARCA5;PA2G4;GNG12;EIF1;CCT6A;RPS26;RPS28;HNRNPK;RPS29;RPL27A;RPS20;CALM3;HNRNPC;CALR;CALM1;RPS21;CALM2;RPS24;ARF4;RPLP0;ARPC1A;TUBA1C;SEC61G;RPLP2;CCT2;TPI1;SSR2;NME2;MRPS21;NME1;PSMA6;CSDE1;PABPC1;GAS5;PTMA;RPL10;RPL12;RPL11;PSMB4;PSMB2;RPL14;RPL13;RPS2;RPL15;RPL18;CCT7;RPL17;RPL19;CCT4;NPM1;MDH1;PKM2;CSNK1A1;PTGES3;ARCN1;RAB11B;HNRNPA2B1;RPL22L1;HDGF;FAU;TOMM6;NDUFA11;MRFAP1;PARK7;RPL10A;TOMM20;ACTG1;TXN2;CHCHD2;HCFC1R1;BANF1;AP2M1;RPS9;RPS7;RPS8;RPS5;RPS6;CNPY2;RPSA;SDHC;EEF1A1;NCL;PPIA;SNRPB;RTN3;COPA;DDX5;NDUFB11;COPB1;HSP90B1;ACAT1;UBB;UBC;PGK1;CYC1;HSPA4;EEF2;GNB2L1;UQCRQ;CDK4;UBE2S;CAPRIN1;GNAS;CHMP2A;CYCS;EIF4G2;EIF4G1;UBE2M;SLC25A1;YWHAE;HSP90AB1;DDX3X;YBX1;RPS4X;RPL7A;YWHAQ;SUMO3;SUMO2;IDH3B;EIF5A;H2AFZ;NDUFC2;RPL13A;NDUFS7;NDUFS5;RPL37A;TMBIM1;TMBIM6;GAPDH;NDUFB6;NDUFB2;PUF60;RBBP7;CCDC72;EIF4B;POLR2L;NDUFA7;CNBP;NDUFA2;RPL35A;RPL23A;HNRNPAB;SOD1;SLC25A39;STUB1;EIF3E;P4HB;RAN
