mm10_ENSMUSG00000051951	mm10_Xkr4
mm10_ENSMUSG00000089699	mm10_Gm1992
mm10_ENSMUSG00000102343	mm10_Gm37381
mm10_ENSMUSG00000025900	mm10_Rp1
mm10_ENSMUSG00000109048	mm10_Rp1
mm10_ENSMUSG00000025902	mm10_Sox17
mm10_ENSMUSG00000104328	mm10_Gm37323
mm10_ENSMUSG00000033845	mm10_Mrpl15
mm10_ENSMUSG00000025903	mm10_Lypla1
mm10_ENSMUSG00000104217	mm10_Gm37988
mm10_ENSMUSG00000033813	mm10_Tcea1
mm10_ENSMUSG00000002459	mm10_Rgs20
mm10_ENSMUSG00000085623	mm10_Gm16041
mm10_ENSMUSG00000033793	mm10_Atp6v1h
mm10_ENSMUSG00000025905	mm10_Oprk1
mm10_ENSMUSG00000033774	mm10_Npbwr1
mm10_ENSMUSG00000025907	mm10_Rb1cc1
mm10_ENSMUSG00000090031	mm10_4732440D04Rik
mm10_ENSMUSG00000087247	mm10_Fam150a
mm10_ENSMUSG00000033740	mm10_St18
mm10_ENSMUSG00000051285	mm10_Pcmtd1
mm10_ENSMUSG00000097797	mm10_Gm26901
mm10_ENSMUSG00000103067	mm10_Gm30414
mm10_ENSMUSG00000025909	mm10_Sntg1
mm10_ENSMUSG00000061024	mm10_Rrs1
mm10_ENSMUSG00000025911	mm10_Adhfe1
mm10_ENSMUSG00000067879	mm10_3110035E14Rik
mm10_ENSMUSG00000099827	mm10_Gm29520
mm10_ENSMUSG00000025912	mm10_Mybl1
mm10_ENSMUSG00000045210	mm10_Vcpip1
mm10_ENSMUSG00000097893	mm10_1700034P13Rik
mm10_ENSMUSG00000025915	mm10_Sgk3
mm10_ENSMUSG00000046101	mm10_Mcmdc2
mm10_ENSMUSG00000098234	mm10_Snhg6
mm10_ENSMUSG00000099032	mm10_Tcf24
mm10_ENSMUSG00000025916	mm10_Ppp1r42
mm10_ENSMUSG00000087199	mm10_Gm15818
mm10_ENSMUSG00000025917	mm10_Cops5
mm10_ENSMUSG00000056763	mm10_Cspp1
mm10_ENSMUSG00000067851	mm10_Arfgef1
mm10_ENSMUSG00000042501	mm10_Cpa6
mm10_ENSMUSG00000048960	mm10_Prex2
mm10_ENSMUSG00000057715	mm10_A830018L16Rik
mm10_ENSMUSG00000097171	mm10_Gm17644
mm10_ENSMUSG00000101314	mm10_Gm29663
mm10_ENSMUSG00000016918	mm10_Sulf1
mm10_ENSMUSG00000025938	mm10_Slco5a1
mm10_ENSMUSG00000099498	mm10_Gm29283
mm10_ENSMUSG00000042414	mm10_Prdm14
mm10_ENSMUSG00000005886	mm10_Ncoa2
mm10_ENSMUSG00000101476	mm10_Gm29570
mm10_ENSMUSG00000025935	mm10_Tram1
mm10_ENSMUSG00000025937	mm10_Lactb2
mm10_ENSMUSG00000067813	mm10_Xkr9
mm10_ENSMUSG00000025932	mm10_Eya1
mm10_ENSMUSG00000054493	mm10_Gm9947
mm10_ENSMUSG00000025930	mm10_Msc
mm10_ENSMUSG00000032769	mm10_Trpa1
mm10_ENSMUSG00000092083	mm10_Kcnb2
mm10_ENSMUSG00000025925	mm10_Terf1
mm10_ENSMUSG00000032719	mm10_Sbspon
mm10_ENSMUSG00000067795	mm10_4930444P10Rik
mm10_ENSMUSG00000043716	mm10_Rpl7
mm10_ENSMUSG00000025921	mm10_Rdh10
mm10_ENSMUSG00000100868	mm10_Gm28095
mm10_ENSMUSG00000025920	mm10_Stau2
mm10_ENSMUSG00000089982	mm10_Gm7568
mm10_ENSMUSG00000025939	mm10_Ube2w
mm10_ENSMUSG00000079658	mm10_Tceb1
mm10_ENSMUSG00000097744	mm10_D030040B21Rik
mm10_ENSMUSG00000025940	mm10_Tmem70
mm10_ENSMUSG00000025779	mm10_Ly96
mm10_ENSMUSG00000101640	mm10_Gm28376
mm10_ENSMUSG00000042686	mm10_Jph1
mm10_ENSMUSG00000100110	mm10_Gm28783
mm10_ENSMUSG00000025777	mm10_Gdap1
mm10_ENSMUSG00000099899	mm10_Gm28784
mm10_ENSMUSG00000067780	mm10_Pi15
mm10_ENSMUSG00000100053	mm10_Gm28154
mm10_ENSMUSG00000085125	mm10_Gm16070
mm10_ENSMUSG00000025776	mm10_Crispld1
mm10_ENSMUSG00000099895	mm10_Gm28153
mm10_ENSMUSG00000025774	mm10_Crisp4
mm10_ENSMUSG00000073735	mm10_Defb18
mm10_ENSMUSG00000067773	mm10_Defb41
mm10_ENSMUSG00000101738	mm10_Gm29006
mm10_ENSMUSG00000089787	mm10_Gm15825
mm10_ENSMUSG00000042596	mm10_Tfap2d
mm10_ENSMUSG00000025927	mm10_Tfap2b
mm10_ENSMUSG00000100538	mm10_Gm28340
mm10_ENSMUSG00000043760	mm10_Pkhd1
mm10_ENSMUSG00000089914	mm10_4930486I03Rik
mm10_ENSMUSG00000099906	mm10_Gm28653
mm10_ENSMUSG00000025929	mm10_Il17a
mm10_ENSMUSG00000041872	mm10_Il17f
mm10_ENSMUSG00000041859	mm10_Mcm3
mm10_ENSMUSG00000102121	mm10_Gm28065
mm10_ENSMUSG00000097934	mm10_6720483E21Rik
mm10_ENSMUSG00000025931	mm10_Paqr8
mm10_ENSMUSG00000041809	mm10_Efhc1
mm10_ENSMUSG00000041779	mm10_Tram2
mm10_ENSMUSG00000099971	mm10_Gm28287
mm10_ENSMUSG00000025933	mm10_Tmem14a
mm10_ENSMUSG00000025934	mm10_Gsta3
mm10_ENSMUSG00000099343	mm10_Gm28836
mm10_ENSMUSG00000067750	mm10_Khdc1a
mm10_ENSMUSG00000041722	mm10_Khdc1c
mm10_ENSMUSG00000085079	mm10_Khdc1b
mm10_ENSMUSG00000028033	mm10_Kcnq5
mm10_ENSMUSG00000097109	mm10_Gm26580
mm10_ENSMUSG00000041670	mm10_Rims1
mm10_ENSMUSG00000073730	mm10_4933415F23Rik
mm10_ENSMUSG00000097970	mm10_Gm27028
mm10_ENSMUSG00000100775	mm10_Gm29107
mm10_ENSMUSG00000026158	mm10_Ogfrl1
mm10_ENSMUSG00000099503	mm10_Gm28822
mm10_ENSMUSG00000026156	mm10_B3gat2
mm10_ENSMUSG00000026155	mm10_Smap1
mm10_ENSMUSG00000026154	mm10_Sdhaf4
mm10_ENSMUSG00000026153	mm10_Fam135a
mm10_ENSMUSG00000026147	mm10_Col9a1
mm10_ENSMUSG00000026141	mm10_Col19a1
mm10_ENSMUSG00000073725	mm10_Lmbrd1
mm10_ENSMUSG00000100483	mm10_Gm28237
mm10_ENSMUSG00000099392	mm10_Gm29414
mm10_ENSMUSG00000033569	mm10_Adgrb3
mm10_ENSMUSG00000073722	mm10_4931408C20Rik
mm10_ENSMUSG00000101514	mm10_Gm5524
mm10_ENSMUSG00000048411	mm10_Gm597
mm10_ENSMUSG00000053185	mm10_Gm9898
mm10_ENSMUSG00000048874	mm10_Phf3
mm10_ENSMUSG00000026064	mm10_Ptp4a1
mm10_ENSMUSG00000100371	mm10_Gm29669
mm10_ENSMUSG00000100237	mm10_Gm28644
mm10_ENSMUSG00000086727	mm10_4931428L18Rik
mm10_ENSMUSG00000100910	mm10_Gm29128
mm10_ENSMUSG00000050217	mm10_Lgsn
mm10_ENSMUSG00000026063	mm10_Pih1d3
mm10_ENSMUSG00000026058	mm10_Khdrbs2
mm10_ENSMUSG00000091318	mm10_Gm5415
mm10_ENSMUSG00000102917	mm10_Gm37724
mm10_ENSMUSG00000104230	mm10_Gm37591
mm10_ENSMUSG00000026134	mm10_Prim2
mm10_ENSMUSG00000004768	mm10_Rab23
mm10_ENSMUSG00000042215	mm10_Bag2
mm10_ENSMUSG00000042197	mm10_Zfp451
mm10_ENSMUSG00000042182	mm10_Bend6
mm10_ENSMUSG00000026131	mm10_Dst
mm10_ENSMUSG00000104397	mm10_Gm37958
mm10_ENSMUSG00000102336	mm10_Gm37233
mm10_ENSMUSG00000042111	mm10_Ccdc115
mm10_ENSMUSG00000101711	mm10_Gm28306
mm10_ENSMUSG00000026127	mm10_Imp4
mm10_ENSMUSG00000026126	mm10_Ptpn18
mm10_ENSMUSG00000101223	mm10_4930568A12Rik
mm10_ENSMUSG00000026125	mm10_Prss39
mm10_ENSMUSG00000026124	mm10_Cfc1
mm10_ENSMUSG00000037529	mm10_Prss40
mm10_ENSMUSG00000045815	mm10_1700101I19Rik
mm10_ENSMUSG00000045174	mm10_Amer3
mm10_ENSMUSG00000037509	mm10_Arhgef4
mm10_ENSMUSG00000104002	mm10_Gm38336
mm10_ENSMUSG00000037503	mm10_Fam168b
mm10_ENSMUSG00000026123	mm10_Plekhb2
mm10_ENSMUSG00000104417	mm10_Gm37068
mm10_ENSMUSG00000101714	mm10_Gm28415
mm10_ENSMUSG00000102531	mm10_1110002O04Rik
mm10_ENSMUSG00000102279	mm10_Gm37146
mm10_ENSMUSG00000103708	mm10_Gm33222
mm10_ENSMUSG00000104201	mm10_4930535G08Rik
mm10_ENSMUSG00000045216	mm10_Hs6st1
mm10_ENSMUSG00000104523	mm10_Gm37335
mm10_ENSMUSG00000102202	mm10_Gm33280
mm10_ENSMUSG00000037470	mm10_Uggt1
mm10_ENSMUSG00000047180	mm10_Neurl3
mm10_ENSMUSG00000037447	mm10_Arid5a
mm10_ENSMUSG00000102762	mm10_4930403P22Rik
mm10_ENSMUSG00000010453	mm10_Kansl3
mm10_ENSMUSG00000037432	mm10_Fer1l5
mm10_ENSMUSG00000001143	mm10_Lman2l
mm10_ENSMUSG00000037408	mm10_Cnnm4
mm10_ENSMUSG00000001138	mm10_Cnnm3
mm10_ENSMUSG00000102845	mm10_Gm38033
mm10_ENSMUSG00000067653	mm10_Ankrd23
mm10_ENSMUSG00000109510	mm10_Gm43543
mm10_ENSMUSG00000079610	mm10_Ankrd39
mm10_ENSMUSG00000026121	mm10_Sema4c
mm10_ENSMUSG00000046337	mm10_Fam178b
mm10_ENSMUSG00000061518	mm10_Cox5b
mm10_ENSMUSG00000037351	mm10_Actr1b
mm10_ENSMUSG00000102416	mm10_4933424G06Rik
mm10_ENSMUSG00000104237	mm10_Gm33533
mm10_ENSMUSG00000026117	mm10_Zap70
mm10_ENSMUSG00000026116	mm10_Tmem131
mm10_ENSMUSG00000050122	mm10_Vwa3b
mm10_ENSMUSG00000103603	mm10_Gm37020
mm10_ENSMUSG00000026114	mm10_Cnga3
mm10_ENSMUSG00000026113	mm10_Inpp4a
mm10_ENSMUSG00000086064	mm10_4930439A04Rik
mm10_ENSMUSG00000026112	mm10_Coa5
mm10_ENSMUSG00000026111	mm10_Unc50
mm10_ENSMUSG00000026110	mm10_Mgat4a
mm10_ENSMUSG00000026090	mm10_2010300C02Rik
mm10_ENSMUSG00000089767	mm10_4930556I23Rik
mm10_ENSMUSG00000060771	mm10_Tsga10
mm10_ENSMUSG00000097268	mm10_Gm26805
mm10_ENSMUSG00000037216	mm10_Lipt1
mm10_ENSMUSG00000026088	mm10_Mitd1
mm10_ENSMUSG00000026087	mm10_Mrpl30
mm10_ENSMUSG00000061584	mm10_Lyg2
mm10_ENSMUSG00000087374	mm10_Gm15457
mm10_ENSMUSG00000026085	mm10_Lyg1
mm10_ENSMUSG00000058407	mm10_Txndc9
mm10_ENSMUSG00000026083	mm10_Eif5b
mm10_ENSMUSG00000026082	mm10_Rev1
mm10_ENSMUSG00000102716	mm10_Gm5099
mm10_ENSMUSG00000037138	mm10_Aff3
mm10_ENSMUSG00000085391	mm10_Gm16150
mm10_ENSMUSG00000085280	mm10_Gm16151
mm10_ENSMUSG00000087131	mm10_Gm16152
mm10_ENSMUSG00000048814	mm10_Lonrf2
mm10_ENSMUSG00000026080	mm10_Chst10
mm10_ENSMUSG00000103647	mm10_Gm37707
mm10_ENSMUSG00000067604	mm10_Nms
mm10_ENSMUSG00000026078	mm10_Pdcl3
mm10_ENSMUSG00000104188	mm10_Gm37821
mm10_ENSMUSG00000026077	mm10_Npas2
mm10_ENSMUSG00000073702	mm10_Rpl31
mm10_ENSMUSG00000003134	mm10_Tbc1d8
mm10_ENSMUSG00000003135	mm10_Cnot11
mm10_ENSMUSG00000048234	mm10_Rnf149
mm10_ENSMUSG00000050967	mm10_Creg2
mm10_ENSMUSG00000097083	mm10_D930019O06Rik
mm10_ENSMUSG00000057173	mm10_Rfx8
mm10_ENSMUSG00000091937	mm10_Gm3646
mm10_ENSMUSG00000101634	mm10_1700066B17Rik
mm10_ENSMUSG00000026074	mm10_Map4k4
mm10_ENSMUSG00000026073	mm10_Il1r2
mm10_ENSMUSG00000097899	mm10_Gm16894
mm10_ENSMUSG00000026072	mm10_Il1r1
mm10_ENSMUSG00000070942	mm10_Il1rl2
mm10_ENSMUSG00000026069	mm10_Il1rl1
mm10_ENSMUSG00000026070	mm10_Il18r1
mm10_ENSMUSG00000026068	mm10_Il18rap
mm10_ENSMUSG00000104441	mm10_Gm35801
mm10_ENSMUSG00000026065	mm10_Slc9a4
mm10_ENSMUSG00000026062	mm10_Slc9a2
mm10_ENSMUSG00000103679	mm10_Gm37623
mm10_ENSMUSG00000103270	mm10_Gm37915
mm10_ENSMUSG00000041945	mm10_Mfsd9
mm10_ENSMUSG00000079588	mm10_Tmem182
mm10_ENSMUSG00000104072	mm10_4930448I06Rik
mm10_ENSMUSG00000100185	mm10_Gm28634
mm10_ENSMUSG00000100832	mm10_Gm29260
mm10_ENSMUSG00000053640	mm10_Gm9915
mm10_ENSMUSG00000101919	mm10_Gm29664
mm10_ENSMUSG00000101299	mm10_Gm28175
mm10_ENSMUSG00000100180	mm10_Gm28140
mm10_ENSMUSG00000060424	mm10_Pantr1
mm10_ENSMUSG00000045515	mm10_Pou3f3
mm10_ENSMUSG00000099784	mm10_Dalir
mm10_ENSMUSG00000060679	mm10_Mrps9
mm10_ENSMUSG00000041907	mm10_Gpr45
mm10_ENSMUSG00000070939	mm10_Tgfbrap1
mm10_ENSMUSG00000100269	mm10_Gm28782
mm10_ENSMUSG00000041878	mm10_8430432A02Rik
mm10_ENSMUSG00000010290	mm10_AI597479
mm10_ENSMUSG00000008136	mm10_Fhl2
mm10_ENSMUSG00000099576	mm10_Gm29040
mm10_ENSMUSG00000066877	mm10_Nck2
mm10_ENSMUSG00000026051	mm10_1500015O10Rik
mm10_ENSMUSG00000100764	mm10_Gm29155
mm10_ENSMUSG00000100635	mm10_Gm29157
mm10_ENSMUSG00000100480	mm10_Gm29156
mm10_ENSMUSG00000057363	mm10_Uxs1
mm10_ENSMUSG00000041763	mm10_Tpp2
mm10_ENSMUSG00000047343	mm10_Mettl21c
mm10_ENSMUSG00000091844	mm10_Gm8251
mm10_ENSMUSG00000026049	mm10_Tex30
mm10_ENSMUSG00000026047	mm10_Kdelc1
mm10_ENSMUSG00000041684	mm10_Bivm
mm10_ENSMUSG00000026048	mm10_Ercc5
mm10_ENSMUSG00000046828	mm10_Mettl21e
mm10_ENSMUSG00000056870	mm10_Gulp1
mm10_ENSMUSG00000101701	mm10_4930521E06Rik
mm10_ENSMUSG00000026043	mm10_Col3a1
mm10_ENSMUSG00000026042	mm10_Col5a2
mm10_ENSMUSG00000025995	mm10_Wdr75
mm10_ENSMUSG00000098549	mm10_Gm5269
mm10_ENSMUSG00000025993	mm10_Slc40a1
mm10_ENSMUSG00000041144	mm10_Dnah7b
mm10_ENSMUSG00000101337	mm10_Dnah7c
mm10_ENSMUSG00000025986	mm10_Slc39a10
mm10_ENSMUSG00000100213	mm10_Gm28151
mm10_ENSMUSG00000101447	mm10_Gm28826
mm10_ENSMUSG00000051616	mm10_C230029F24Rik
mm10_ENSMUSG00000099608	mm10_4933411E06Rik
mm10_ENSMUSG00000100451	mm10_Gm29665
mm10_ENSMUSG00000100816	mm10_Gm28321
mm10_ENSMUSG00000026109	mm10_Tmeff2
mm10_ENSMUSG00000100671	mm10_Gm28322
mm10_ENSMUSG00000101242	mm10_Gm28319
mm10_ENSMUSG00000099625	mm10_Gm29325
mm10_ENSMUSG00000101799	mm10_9330175M20Rik
mm10_ENSMUSG00000045954	mm10_Sdpr
mm10_ENSMUSG00000101702	mm10_1700072G22Rik
mm10_ENSMUSG00000026107	mm10_Nabp1
mm10_ENSMUSG00000099413	mm10_Gm17767
mm10_ENSMUSG00000101741	mm10_Gm28055
mm10_ENSMUSG00000018417	mm10_Myo1b
mm10_ENSMUSG00000062939	mm10_Stat4
mm10_ENSMUSG00000026104	mm10_Stat1
mm10_ENSMUSG00000026103	mm10_Gls
mm10_ENSMUSG00000002881	mm10_Nab1
mm10_ENSMUSG00000100120	mm10_Gm553
