"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm16439",4.61795831941634e-20,5.7851717972329,0.987,0.552,1.69723822113509e-15
"Cbx3-ps7",4.62984014892851e-20,2.41436470215729,1,1,1.70160514993569e-15
"Impact",4.62984014892851e-20,3.03047925370148,1,1,1.70160514993569e-15
"Lrrfip1",4.64374963786622e-20,6.05367058484232,0.987,0.207,1.70671730440497e-15
"Gm13315",4.71150372732391e-20,3.78747896861255,0.949,0.414,1.73161896490335e-15
"Rpl27-ps2",4.78767927664158e-20,4.12662192607482,0.987,0.741,1.75961576454408e-15
"Gm17214",4.79057193249526e-20,3.74531849529356,0.987,0.603,1.76067890234998e-15
"Rpl7a-ps5",4.82077692104366e-20,2.69415551640464,1,1,1.77178014179118e-15
"Gm8814",4.85972795498941e-20,3.74953261877525,0.987,0.69,1.78609581529726e-15
"Gm8731",5.01949381439929e-20,2.77797143057689,1,0.983,1.84481456160617e-15
"Nop10",5.01949381439929e-20,2.51394069225586,1,1,1.84481456160617e-15
"Rps11-ps2",5.01949381439929e-20,2.41619301794823,1,1,1.84481456160617e-15
"Slc4a5",5.05815786696024e-20,-3.99963349981961,0.089,0.914,1.8590247608439e-15
"Gm5445",5.44153277321557e-20,2.77909838248018,1,0.983,1.99992654013992e-15
"Gm6030",5.44153277321557e-20,2.66466465996293,1,1,1.99992654013992e-15
"Gm13602",5.46515092757277e-20,3.89024405864051,0.975,0.81,2.00860692041082e-15
"Gm8522",5.63424377011896e-20,3.97432473207872,0.987,0.897,2.07075361283182e-15
"Gm10282",5.66551882539708e-20,2.75700412780281,1,1,2.08224813389819e-15
"Nhp2",5.66551882539708e-20,2.4914487684497,1,1,2.08224813389819e-15
"Gm13437",5.71664956111759e-20,3.47736917720743,0.987,0.655,2.10104021319755e-15
"Pkp2",5.73099238552875e-20,5.51341345556466,1,0.431,2.10631163145338e-15
"Cbx5",5.89861396617268e-20,2.82315652852858,1,1,2.16791759098745e-15
"Csnk2a2",5.89861396617268e-20,2.87764046400434,1,1,2.16791759098745e-15
"Gm9836",6.37159086070523e-20,3.0101851001944,1,0.897,2.34175078903499e-15
"Peg3",6.39297929501786e-20,4.8130433489777,1,0.966,2.34961168029791e-15
"Gm15500",6.39360940116028e-20,2.08908926893959,1,1,2.34984326320844e-15
"Rpl21-ps4",6.61967898960367e-20,3.52222837444041,0.987,0.897,2.43293061904904e-15
"Gm10357",6.74637183759012e-20,3.32992867527545,0.987,0.569,2.4794940414695e-15
"Cd3g",6.80421743598274e-20,-9.61742720676252,0,0.759,2.50075403424674e-15
"Gm5976",7.05326194884018e-20,3.36452432981731,0.962,0.466,2.59228536405723e-15
"Gm14277",7.21405031654307e-20,2.69074312738709,1,1,2.65137991283907e-15
"Ptges3-ps",7.21405031654307e-20,2.62696608739905,1,1,2.65137991283907e-15
"Nt5dc2",7.4016407048774e-20,4.50052230151253,1,0.569,2.72032500826359e-15
