"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Grn",2.32585710741657e-07,-1.33578094256933,0.937,0.983,0.00854822262688811
"Wwp1",2.3284122463767e-07,0.688874220547772,0.987,0.983,0.00855761352910829
"Prr13",2.41100242653858e-07,-0.686313845710676,0.962,1,0.00886115721825726
"Mypn",2.41309756814794e-07,-0.517325782246894,0.089,0.483,0.00886885749221412
"Rplp1",2.46810383570076e-07,-0.452923213917411,1,1,0.009071022027351
"AI464131",2.47712473721558e-07,-0.381338962202764,0.241,0.69,0.00910417654668843
"Snai3",2.47950841464685e-07,0.475381952459668,0.696,0.207,0.00911293727635155
"Slc4a8",2.51899242632301e-07,-0.474401708856532,0.443,0.793,0.00925805286446496
"Gng5",2.52618563994987e-07,0.376195670382814,1,1,0.00928449008250776
"Nrep",2.57466821279403e-07,0.460886782817205,0.633,0.155,0.0094626780824819
"Aspscr1",2.58094908924326e-07,-0.660782289163403,0.937,0.966,0.00948576218769577
"Odf2l",2.60221893461776e-07,0.284268957159691,0.785,0.379,0.00956393525040065
"Gm10036",2.64633593965408e-07,0.257695382473855,1,1,0.00972607847901063
"Eras",2.66073241584627e-07,0.337176181123197,0.582,0.155,0.00977898984795981
"Map3k5",2.6891245180119e-07,-0.480891643169109,0.392,0.776,0.00988333934104915
"Trim8",2.73996448950222e-07,-0.616382252099789,0.987,0.983,0.0100701914882675
"Ak4",2.7574407621677e-07,-1.00047623581066,0.873,1,0.010134422033195
"Gm2a",2.7719969439606e-07,-0.829020802833805,1,1,0.0101879203681384
"Krt7",2.7784798523121e-07,1.14292877199317,0.684,0.241,0.0102117470012026
"Camk2d",2.8029329755399e-07,0.470043322973313,0.848,0.414,0.0103016195650018
"Zfp870",2.83288122593201e-07,-0.991868816470994,0.582,0.793,0.0104116883696679
"Adipor1",2.83696943225667e-07,0.683078160691151,1,1,0.0104267137543729
"Kmt5a",2.83696943225667e-07,0.564035881030303,1,1,0.0104267137543729
"Cobl",2.88316471521867e-07,-0.809923435588754,0.861,1,0.0105964952778432
"Abhd2",2.90341142567108e-07,-0.299872882460893,1,0.983,0.0106709080127689
"Psip1",2.90341142567108e-07,0.844034820935314,1,1,0.0106709080127689
"Twf1",2.90341142567108e-07,-0.85569489543666,1,1,0.0106709080127689
"Bhlhe40",2.95849797540428e-07,0.951284353616459,0.924,0.586,0.0108733676090033
"Kras",2.97097764709921e-07,0.976528324076219,1,0.948,0.0109192341463837
"Manf",2.97126056124109e-07,0.664388112514417,1,0.966,0.0109202739407294
"Nap1l1",2.97135487107569e-07,0.599760445488836,1,1,0.0109206205576645
"Trim71",2.97135487107569e-07,0.64117428957843,1,1,0.0109206205576645
"Mrpl11",3.04083237964382e-07,0.492551883959293,1,1,0.0111759712449049
"Actb",3.11187723997804e-07,1.14626250750578,1,1,0.0114370824200913
"Zscan26",3.11187723997804e-07,-0.766493372138319,1,1,0.0114370824200913
"Npr3",3.14468676900403e-07,-0.328977548431792,0.316,0.741,0.0115576672821205
"Pcyox1",3.14818376548419e-07,0.415948012863695,0.924,0.552,0.011570519793284
"Pitx2",3.14915130374367e-07,0.658398103271138,0.544,0.138,0.0115740757866491
"Rps3",3.18452343148233e-07,-0.379274650427328,1,1,0.011704078967727
"Dsc2",3.23153271226174e-07,0.438532436143671,0.443,0.052,0.0118768521773756
"Hunk",3.28681167104349e-07,0.415607960268027,0.722,0.31,0.0120800189345862
"Zglp1",3.31439493133215e-07,0.452471239448375,0.456,0.052,0.0121813956911251
"Gm11427",3.3245833589623e-07,-0.270343393955565,0,0.293,0.0122188412191941
"Gm11543",3.3245833589623e-07,-1.20248756893232,0,0.293,0.0122188412191941
"Zscan4e",3.3245833589623e-07,-1.21533863702403,0,0.293,0.0122188412191941
"Uri1",3.33475926160224e-07,0.85894597071251,1,0.983,0.0122562407141667
"Ccdc181",3.34372987790889e-07,0.285815726024088,0.722,0.328,0.0122892104202785
"Tgm1",3.42378241129484e-07,0.554589040868811,0.835,0.431,0.0125834274962319
"Fkbp1a",3.5730137294236e-07,0.705058695560969,1,1,0.0131318973597506
"Wdr76",3.65602190877556e-07,-0.776564298171659,1,1,0.0134369773213228
"Rcn3",3.76076190434675e-07,0.411657828065009,0.924,0.569,0.0138219282270456
"Dnah8",3.86164917195943e-07,-0.740351818535762,0.911,0.983,0.0141927192017025
"Skp1a",3.91636557766351e-07,0.588881212664431,1,1,0.0143938184075867
"Sgk3",3.93860990003108e-07,-0.774584238042816,0.759,0.931,0.0144755729655842
"Plpp3",3.97158936921562e-07,-0.569239915558163,0.848,1,0.0145967824086782
"Srpk1",4.00705599643305e-07,0.691296680646984,1,1,0.0147271329036904
"Robo1",4.07646647785756e-07,-0.512512221882073,0.253,0.672,0.0149822372460699
"Uchl1",4.20392422908863e-07,0.287306537742094,0.962,0.672,0.0154506827191695
"Ppfibp1",4.2053382160369e-07,1.053797685612,0.937,0.879,0.0154558795454004
"Prelid3a",4.25222328010476e-07,0.298104722941006,0.646,0.224,0.015628196221369
"4933404O12Rik",4.31196831317045e-07,0.375336315711021,0.747,0.31,0.0158477771413953
"Jade2",4.33371955552207e-07,0.264447414470473,0.785,0.362,0.0159277194824103
"Snhg20",4.36078307792178e-07,-0.364985652837562,0.899,0.948,0.0160271860462859
"Pcsk6",4.48735987722965e-07,-0.529243260891828,0.519,0.914,0.0164923937567821
"Cct2",4.4917613624623e-07,0.525150025716891,1,1,0.0165085705354577
"Myo1c",4.51670112518046e-07,0.536393266489215,0.949,0.81,0.0166002316453757
"Fign",4.61179657731802e-07,0.545323130111239,0.608,0.172,0.0169497359606169
"Zcchc18",4.70057351856115e-07,0.379952733952588,0.544,0.121,0.0172760178527678
"Ppic",4.8009823553673e-07,-0.818741165237494,0.924,0.983,0.0176450504506814
