"","GeneID","Cluster"
"214","Tomm6","cluster6"
"215","Txndc17","cluster6"
"216","S100a13","cluster6"
"217","Tsc22d4","cluster6"
"218","Ifitm2","cluster6"
"219","Scand1","cluster6"
"220","Srsf5","cluster6"
"221","Selk","cluster6"
"222","Tmsb10","cluster6"
"223","Actr2","cluster6"
"224","Capza1","cluster6"
"225","Rap1a","cluster6"
"226","Ppia","cluster6"
"227","Sumo2","cluster6"
"228","Hnrnpf","cluster6"
"229","Cox5a","cluster6"
"230","Hnrnpa2b1","cluster6"
"231","Rbm3","cluster6"
"232","Gdi2","cluster6"
"233","Ndufa6","cluster6"
"234","Prelid1","cluster6"
"235","Arpp19","cluster6"
"236","Capns1","cluster6"
"237","Aes","cluster6"
"238","Ubc","cluster6"
"239","Lcp1","cluster6"
"240","D4Wsu53e","cluster6"
"241","Sat1","cluster6"
"242","Ube2b","cluster6"
"243","Brp44","cluster6"
"244","Cyb5r4","cluster6"
"245","Glrx","cluster6"
"246","Trem3","cluster6"
"247","Ccnd3","cluster6"
"248","Ckap4","cluster6"
"249","Adipor1","cluster6"
"250","Pnkp","cluster6"
"251","1810058I24Rik","cluster6"
"252","Ppp1r2","cluster6"
"253","Ogfrl1","cluster6"
"254","Anxa3","cluster6"
"255","Serpinb1a","cluster6"
"256","Clec12a","cluster6"
"257","Lta4h","cluster6"
"258","Cd63","cluster6"
"259","Bnip3l","cluster6"
"260","Sri","cluster6"
"261","Emp3","cluster6"
"262","Vim","cluster6"
"263","Tmbim6","cluster6"
"264","Pgd","cluster6"
"265","Wdr1","cluster6"
"266","Ppp1cb","cluster6"
"267","Gsr","cluster6"
"268","Fam49b","cluster6"
"269","1810037I17Rik","cluster6"
"270","Ndufv3","cluster6"
"271","Aprt","cluster6"
"272","Ap2s1","cluster6"
"273","Calm3","cluster6"
"274","Rnaseh2c","cluster6"
"275","6720456B07Rik","cluster6"
"276","Prdx6","cluster6"
"277","Arf1","cluster6"
"278","Uqcrh","cluster6"
"279","Ldha","cluster6"
"280","Arf5","cluster6"
"281","Atp6v0e","cluster6"
"282","Anp32a","cluster6"
"283","D8Ertd738e","cluster6"
"284","Rab2a","cluster6"
"285","Ywhab","cluster6"
"286","Lbr","cluster6"
"287","Ethe1","cluster6"
"288","Rhog","cluster6"
"289","Tmem134","cluster6"
"290","Gda","cluster5"
"291","Nadk","cluster5"
"292","Ncf2","cluster5"
"293","Cd53","cluster5"
"294","Iqgap1","cluster5"
"295","Pnrc1","cluster5"
"296","Max","cluster5"
"297","Rab6a","cluster5"
"298","Hcfc1r1","cluster5"
"299","Myh9","cluster5"
"300","Efhd2","cluster5"
"301","Skap2","cluster5"
"302","Arhgap9","cluster5"
"303","Zyx","cluster5"
"304","Klf6","cluster5"
"305","Tsc22d3","cluster5"
"306","Ppp2r5a","cluster5"
"307","Bbip1","cluster5"
"308","Arhgap30","cluster5"
"309","Myo1f","cluster5"
"310","Riok3","cluster5"
"311","Evi2b","cluster5"
"312","Gabarapl2","cluster5"
"313","Rab11a","cluster5"
"314","Hcls1","cluster5"
"315","Lims1","cluster5"
"316","Lrrfip1","cluster5"
"317","Slc9a3r1","cluster5"
"318","Msra","cluster5"
"319","Dok3","cluster5"
"320","Msn","cluster5"
"321","Rcsd1","cluster5"
"322","Ikzf1","cluster5"
"323","Triobp","cluster5"
"324","Leprotl1","cluster5"
"325","Rab3d","cluster5"
"326","Cpne3","cluster5"
"327","Syne1","cluster5"
"328","Gsn","cluster5"
"329","Itgb2","cluster5"
"330","Cd9","cluster5"
"331","Ncf4","cluster5"
"332","Mgst2","cluster5"
"333","C3","cluster5"
"334","Gca","cluster5"
"335","Sp140","cluster5"
"336","Ugp2","cluster5"
"337","Mapk3","cluster5"
"338","Nudt4","cluster5"
"339","Flot2","cluster5"
"340","Cyfip2","cluster5"
"341","Rab28","cluster5"
"342","Marcksl1","cluster5"
"343","1500003O03Rik","cluster5"
"344","Nfe2","cluster5"
"345","Cdc42se1","cluster5"
"346","Slpi","cluster5"
"347","Btg1","cluster5"
"348","Cebpb","cluster5"
"349","Dusp1","cluster5"
"350","Junb","cluster5"
"351","Zfp36","cluster5"
"352","Jund","cluster5"
"353","Rap1b","cluster5"
"354","Atp6v1g1","cluster5"
"355","Beta-s","cluster5"
"356","Atp6v0b","cluster5"
"357","Cd44","cluster5"
"358","Psap","cluster5"
"359","Btg2","cluster5"
"360","Mcl1","cluster5"
"361","Hist2h2aa1","cluster5"
"362","Golim4","cluster5"
"363","Acsl1","cluster5"
"364","Abhd5","cluster5"
"365","Clec5a","cluster5"
"366","Hsd11b1","cluster5"
"367","Fcnb","cluster5"
"368","Tmem216","cluster5"
"369","Plscr1","cluster5"
"370","Ffar2","cluster5"
"371","Ets1","cluster5"
"372","Sept1","cluster5"
"373","B230208H11Rik","cluster5"
"374","Nhsl2","cluster5"
"375","Zmpste24","cluster5"
"376","Orm1","cluster5"
"377","Tnfsf13b","cluster5"
"378","Siglece","cluster5"
"379","Stk39","cluster5"
"380","Pilrb2","cluster5"
"381","Pilrb1","cluster5"
"382","Pi16","cluster5"
"383","G0s2","cluster5"
"384","Actn1","cluster5"
"385","Dgat1","cluster5"
"386","Glipr2","cluster5"
"387","Aldh3b1","cluster5"
"388","Alox5","cluster5"
"389","Fmo5","cluster5"
"390","Cd300lf","cluster5"
"391","Slc25a24","cluster5"
"392","Arhgef1","cluster5"
"393","Wnk1","cluster5"
"394","Ctdsp1","cluster5"
"395","Ankrd12","cluster5"
"396","Mkrn1","cluster5"
"397","Ctsh","cluster5"
"398","Cdkn2d","cluster5"
"399","Hist1h1e","cluster5"
"400","Hist1h1c","cluster5"
"401","Lrrfip2","cluster5"
"402","Mid1ip1","cluster5"
"403","Npepps","cluster5"
"404","Sipa1","cluster5"
"405","Rab24","cluster5"
"406","Yaf2","cluster5"
"407","Ero1l","cluster5"
"408","Fli1","cluster5"
"409","Sh3kbp1","cluster5"
"410","Rpe","cluster5"
"411","Ezr","cluster5"
"412","Nfe2l2","cluster5"
"413","Ppp3r1","cluster5"
"414","Phf20l1","cluster5"
"415","Ubl3","cluster5"
"416","Ehd1","cluster5"
"417","Hiatl1","cluster5"
"418","Cklf","cluster5"
"419","Rbms1","cluster5"
"420","Adrbk1","cluster5"
"421","Sla","cluster5"
"422","Abi1","cluster5"
"423","Anxa7","cluster5"
"424","Dync1i2","cluster5"
"425","Cdc42ep3","cluster5"
"426","Adprh","cluster5"
"427","Aip","cluster5"
"428","Med30","cluster5"
"429","Rad21","cluster5"
"430","Cenpa","cluster5"
"431","Cdkn3","cluster5"
"432","Tuba1c","cluster5"
"433","Ube2c","cluster5"
"434","Nusap1","cluster5"
"435","Kif11","cluster5"
"436","Cdkn2c","cluster5"
"437","Spc25","cluster5"
"438","1110007C09Rik","cluster5"
"439","G6pdx","cluster5"
"440","Rogdi","cluster5"
"441","Sp3","cluster5"
"442","Grk6","cluster5"
"443","Ebi3","cluster5"
"444","S1pr4","cluster5"
"445","Cap1","cluster5"
"446","Cd97","cluster5"
"447","Arid3a","cluster5"
"448","Tprgl","cluster5"
"449","Cd164","cluster5"
"450","Rgs2","cluster5"
"451","Ddx3x","cluster5"
"452","Prkcd","cluster5"
"453","Apbb1ip","cluster5"
"454","Cdk11b","cluster5"
"455","Pdcd10","cluster5"
"456","Setd8","cluster5"
"457","Klf13","cluster5"
"458","Bin3","cluster5"
"459","Ccni","cluster5"
